1439198353298,3,446,2.85,156,605,204,0.18,0.02,-3.17,,
1439198420523,8,361,1.94,267,472,257,-0.004,-0.04,-3.77,1439198353298,1439198558958
1439198558958,7,612,1.6,154,408,178,-0.055,-0.06,-0.72,1439198780591,
1439198780591,4,466,0.5,221.3,396,222,-0.012,-0.244,-3.89,,
1439198840809,6,574,2.27,148,509,270,0.16,0.12,-2.45,1439198780591,
1439198903031,,619,3.05,256,404,191,-0.026,-0.019,-1.46,1439198840809,1439198992834
1439198992834,,484,1.69,209,368,265,-0.05,0.07,-2.62,,
1439199116325,,616,3.5,149,339,201,-0.011,0.1,-2.04,1439198992834,
1439199281517,8,834,2.01,194,238,234,0.08,0.2,-0.85,1439199116325,1439199335179
1439199335179,7,763,0.75,217,100,194,-0.183,0.088,-2.784,,
1439199443973,,757,1.98,214,524,201,-0.04,-0.12,-1.4,1439199335179,1439199566744
1439199566744,3,663,0.88,254,522,220,-0.03,-0.295,-2.14,,
1439199661110,3,348,3.8,153,450,126,-0.167,0.2459,-3.67,,
1439199874870,2,825,2.77,112,463,247,-0.08,-0.1,-1.13,,
1439199933591,,666,0.5,206,456,151,0.04,0.06,-2.95,1439199874870,
1439200108692,5,548,0.5,169,406,182,-0.1,0.27,-3.07,1439199933591,
