id ,Requested context / estimated context,params vel/acc,params rest,feedback,comments,situation
1,110,.65 .3,4.6 270 790 78 -1.54 262 349,~3,stiff and inreactive robot,"going straight for the bottle, from center"
2,176,.3 .64,2.6 496 404 106 -4.6 300 509,2 > 1,bit stiff,"going straight for the bottle, from slightly left"
3,252,.54 .26,2.1 106 227 347 -3.2 248 450,"3>2, ~5",compliant slow,moving hand around
4,508,.27 .43,2.1 417 389 376 -4.2 287 673,3>4,"didn't really want to release, stayed still",slightly passing by from right
5,132/200,.46 .66,2.3 117 116 156 -3.2 116 690,5> 4,"didn't move much, didn't want to release the object at first",slightly passing from left to right.
6,500,.52 .57,1 387 198 312 -3.2 210 582,6>5,,"going straight for the bottle, from right"
7,357,.4 .33,4.2 167 333 439 -3.9 198 520,6>7,didn't move much,"from left to right, for it"
8,320/500,.7 .52,3.7 490 261 478 -4.4 285 489,~5,didn't move much,from left straight
9,468/578,.56 .7,4.2 162 644 180 -4.5 279 521,9>8,"didn't move much, finger control was nice",slightly passing towards right
10,175,.3 .2,2.7 202 305 341 -4.2 282 409,9>10,finger control was nice,going for it
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
